MAPPING,,,3010/mapping3.png,3010/mapping3.gif,Mapping the Metro,GRASSHOPPER,FALL 2012,,,
3010,,,3010/model1.png,3010/model1.jpg,Density Study,"PLEXIGLASS, PAPER",FALL 2012,,,
3010,,,3010/model2.png,3010/model2.jpg,"Precedent Study (Euskotren Station in Durango, Spain)","ABS PLASTIC, CHIPBOARD",FALL 2012,,,
3010,,,3010/systems1.png,3010/systems1.png,Air Flow Study,ILLUSTRATOR,FALL 2012,,,
3010,,,3010/systems2.png,3010/systems2.png,Winter Sun Study,"GRASSHOPPER, ILLUSTRATOR",FALL 2012,,,
3010,,,3010/systems3.png,3010/systems3.gif,Summer Sun Study,"GRASSHOPPER, ILLUSTRATOR",FALL 2012,,,
BELMONT,D,,Belmont1/render1.png,Belmont1/render1.jpg,Group Project Final Render,"MAXWELL, PHOTOSHOP",SPRING 2012,,,
BELMONT,D,,Belmont1/render2.png,Belmont1/render2.jpg,Group Project Final Render,"MAXWELL, PHOTOSHOP",SPRING 2012,,,
BELMONT,D,,Belmont1/render3.png,Belmont1/render3.jpg,Group Project Final Render,"MAXWELL, PHOTOSHOP",SPRING 2012,,,
BELMONT,S,,Belmont1/waterflow.png,Belmont1/waterflow.jpg,Water Study for Group Project,GRASSHOPPER,SPRING 2012,,,
WEB,,,old/cameron.png,old/cameron.jpg,Website Designed for Cameron Mathison (no longer online),"FLASH,ACTIONSCRIPT",2008,,,
MOTORCYCLE,M,,old/mcycle1.png,old/mcycle1.JPG,Scrollsaw Project,WOOD,2007,,,
MOTORCYCLE,,,old/motorcycle.png,old/motorcycle.jpg,Scrollsaw Project,WOOD,2007,,,
WEB,S,Click to launch,old/verlett.png,old/verlett.jpg,Verlett Toy,"FLASH,ACTIONSCRIPT",2006,,,http://browse.deviantart.com/art/Bones-n-Wheels-37760802
WEB,S,,old/wishtheworld.png,old/wishtheworld.JPG,Flash Collaboration for Proximity Canada's Christmas Card,"FLASH,ACTIONSCRIPT",2006,,,
THE WORLD IS FLAT,M,,popup/assemblydiagram.png,popup/assemblydiagram.png,Packing Diagram for Flat Pack Floating Pavilion,RHINO,SPRING 2012,,,
THE WORLD IS FLAT,,Click to view,popup/Brochure.png,popup/brochure.png,Floating Pavilion Brochure,"INDESIGN,ILLUSTRATOR",SPRING 2012,,,img/popup/Brochure.pdf
THE WORLD IS FLAT,M,,popup/hinge1.png,popup/hinge1.JPG,Joint Study,CHIPBOARD,SPRING 2012,,,
THE WORLD IS FLAT,,,popup/hinge2.png,popup/hinge2.JPG,Joint Study,CHIPBOARD,SPRING 2012,,,
THE WORLD IS FLAT,M,,popup/joinery1.png,popup/joinery1.JPG,Joint Study,"WOOD, STEEL ROD",SPRING 2012,,,
THE WORLD IS FLAT,,,popup/joinery2.png,popup/joinery2.JPG,Joint Study,CHIPBOARD,SPRING 2012,,,
THE WORLD IS FLAT,,,popup/joinery3.png,popup/joinery3.JPG,Joint Study,CHIPBOARD,SPRING 2012,,,
SCIENCE FAIR RENO NV,M,,sci/sci1.png,sci/sci1.JPG,Custom Designed Airfoil,WOOD,SPRING 2010,,,
SCIENCE FAIR RENO NV,M,,sci/sci2.png,sci/sci2.JPG,Custom Built Wind-tunnel,MIXED,SPRING 2010,,,
SCIENCE FAIR RENO NV,,,sci/sci3.png,sci/sci3.JPG,Process Photo,WOOD,SPRING 2010,,,
SCIENCE FAIR RENO NV,,,sci/sci4.png,sci/sci4.JPG,Process Photo,WOOD,SPRING 2010,,,
HERITAGE,M,Click to view full,shop/17761.png,shop/17761.jpg,"Full Theater Panorama, Congress Interior (Set Carpentry)",HERITAGE,SUMMER 2012,,,img/shop/17761.png
HERITAGE,,,shop/17762.png,shop/17762.jpg,Jefferson Exterior (Theater Set Carpentry),HERITAGE,SUMMER 2012,,,
HERITAGE,M,,shop/17763.png,shop/17763.jpg,Custom Built Open Pediment,HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/17764.png,shop/17764.jpg,Jefferson Interior (Theater Set Carpentry),HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/17765.png,shop/17765.jpg,Machinery Detail,HERITAGE,SUMMER 2012,,,
HERITAGE,M,,shop/17766.png,shop/17766.jpg,False Decking (Theater Set Carpentry),HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/17767.png,shop/17767.jpg,False Decking Complete,HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/17768.png,shop/17768.jpg,House Exterior,HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/17769.png,shop/17769.jpg,Wagon Installed,HERITAGE,SUMMER 2012,,,
HERITAGE,M,,shop/177610.png,shop/177610.jpg,Custom Doorframe (Personal Assignment),HERITAGE,SUMMER 2012,,,
HERITAGE,,,shop/177611.png,shop/177611.jpg,Congress Interior (Theater Set Carpentry),HERITAGE,SUMMER 2012,,,
MISC,,,shop/misc1.png,shop/misc1.jpg,Indian Wedding (Contracted Job),MISC,SPRING 2012,,,
MISC,,,shop/paint1.png,shop/paint1.jpg,Painting,PAINTED MUSLIN,SPRING 2012,,,
WELDING,M,,shop/weld1.png,shop/weld1.jpg,MIG Welded Grates,STEEL,FALL 2012,,,
